"filepath","filename","longitude","latitude","altitude","gps_date","img_date","parcelno","house_numb","street_nam","street_typ","zipcode","common_nam"
"/Volumes/KD/Vernor3/G0113864.JPG","G0113864.JPG",-82.9982941,42.3617566,150.425,"2017:06:23 20:53:26","2017:06:23 04:54:07","17007600.","2404","SEMINOLE",,"48214",
"/Volumes/KD/Vernor3/G0113865.JPG","G0113865.JPG",-82.9983979,42.3617186,150.169,"2017:06:23 20:53:28","2017:06:23 04:54:09","17007600.","2404","SEMINOLE",,"48214",
"/Volumes/KD/Vernor3/G0113866.JPG","G0113866.JPG",-82.9985044,42.3616727,150.038,"2017:06:23 20:53:30","2017:06:23 04:54:11","17007600.","2404","SEMINOLE",,"48214",
"/Volumes/KD/Vernor3/G0113867.JPG","G0113867.JPG",-82.9986002,42.3616277,150.064,"2017:06:23 20:53:32","2017:06:23 04:54:13","17007600.","2404","SEMINOLE",,"48214",
"/Volumes/KD/Vernor3/G0113868.JPG","G0113868.JPG",-82.9986888,42.3615903,149.706,"2017:06:23 20:53:34","2017:06:23 04:54:15","17007600.","2404","SEMINOLE",,"48214",
"/Volumes/KD/Vernor3/G0113811.JPG","G0113811.JPG",-82.995155,42.3629895,148.467,"2017:06:23 20:51:40","2017:06:23 04:52:21","17006175.","2410","BURNS",,"48214",
"/Volumes/KD/Vernor3/G0113812.JPG","G0113812.JPG",-82.9952481,42.362948,148.518,"2017:06:23 20:51:42","2017:06:23 04:52:23","17006175.","2410","BURNS",,"48214",
"/Volumes/KD/Vernor3/G0113813.JPG","G0113813.JPG",-82.995344,42.36291,148.268,"2017:06:23 20:51:44","2017:06:23 04:52:25","17006175.","2410","BURNS",,"48214",
"/Volumes/KD/Vernor3/G0113814.JPG","G0113814.JPG",-82.9954488,42.3628703,148.55,"2017:06:23 20:51:46","2017:06:23 04:52:27","17006175.","2410","BURNS",,"48214",
"/Volumes/KD/Vernor3/G0113815.JPG","G0113815.JPG",-82.9955421,42.3628366,148.921,"2017:06:23 20:51:48","2017:06:23 04:52:29","17006175.","2410","BURNS",,"48214",
"/Volumes/KD/Vernor3/G0113816.JPG","G0113816.JPG",-82.9956359,42.3628023,149.083,"2017:06:23 20:51:50","2017:06:23 04:52:31","17006175.","2410","BURNS",,"48214",
"/Volumes/KD/Vernor3/G0113817.JPG","G0113817.JPG",-82.9957277,42.3627639,149.216,"2017:06:23 20:51:52","2017:06:23 04:52:33","17006175.","2410","BURNS",,"48214",
"/Volumes/KD/Vernor3/G0113779.JPG","G0113779.JPG",-82.9921562,42.3645722,147.8,"2017:06:23 20:50:36","2017:06:23 04:51:17","19000383.","8875","VERNOR",,"48214",
"/Volumes/KD/Vernor3/G0113780.JPG","G0113780.JPG",-82.992234,42.3645027,147.787,"2017:06:23 20:50:38","2017:06:23 04:51:19","19000383.","8875","VERNOR",,"48214",
"/Volumes/KD/Vernor3/G0113793.JPG","G0113793.JPG",-82.9933786,42.3636847,148.697,"2017:06:23 20:51:04","2017:06:23 04:51:45","19010309.","2405","CRANE",,"48214",
"/Volumes/KD/Vernor3/G0113794.JPG","G0113794.JPG",-82.9935114,42.363636,149.015,"2017:06:23 20:51:06","2017:06:23 04:51:47","19010309.","2405","CRANE",,"48214",
